Job Post ID,Hours Per Week,Currency,Salary Frequency,Salary Description,Minimum Salary,Maximum Salary,Annualised Minimum Salary in KYD,Annualised Maximum Salary in KYD,Mean Annual Salary in KYD
M3J2W4,45,KYD,Per Month,"KYD$21,060 - KYD$28,080 Per Annum (paid Monthly) + gratuities",21060,28080,21060,28080,24570
M3U4W7,40,KYD,Per Week,KYD$400 - KYD$800 Weekly,20800,41600,20800,41600,31200
M3Y7U6,40,KYD,Per Month,"KYD$10,000 - KYD$15,000 Monthly",120000,180000,120000,180000,150000
M4T6F5,20,KYD,Per Week,KYD$6 - KYD$7 Per Hour (paid Weekly),6240,7280,6240,7280,6760
M4T7P2,45,KYD,Per Month,"KYD$19,200 - KYD$22,800 Per Annum (paid Monthly)",19200,22800,19200,22800,21000
M5S7G6,45,KYD,Bi-Weekly,"KYD$720 - KYD$1,080 Bi-Weekly (paid Bi-Weekly)",18720,28080,18720,28080,23400
M6G2X5,40,KYD,Per Hour,KYD$6 - KYD$8 Per Hour (paid Per Hour),12480,16640,12480,16640,14560
M8J7P3,45,KYD,Per Month,"KYD$1,400 - KYD$1,600 Monthly",16800,19200,16800,19200,18000
M8R5V6,45,KYD,Bi-Weekly,"KYD$16,200 - KYD$17,400 Per Annum (paid Bi-Weekly)",16200,17400,16200,17400,16800
N4V2D2,5,KYD,Bi-Weekly,KYD$300 - KYD$500 Bi-Weekly (paid Bi-Weekly),7800,13000,7800,13000,10400
N5D7F7,40,KYD,Per Week,KYD$400 - KYD$500 Weekly,20800,26000,20800,26000,23400
N5H8G6,45,KYD,Bi-Weekly,"KYD$1,080 Bi-Weekly (paid Bi-Weekly)",28080,28080,28080,28080,28080
N5K8U3,42,KYD,Per Month,"KYD$3,000 - KYD$4,000 Monthly",36000,48000,36000,48000,42000
N5S7T7,40,KYD,Per Month,"KYD$40,000 - KYD$50,000 Per Annum (paid Monthly)",40000,50000,40000,50000,45000
N8Q3H7,45,KYD,Per Month,KYD$10 - KYD$15 Per Hour (paid Monthly),23400,35100,23400,35100,29250
N8Y3T6,37.5,USD,Per Month,"USD$65,000 - USD$95,000 Per Annum (paid Monthly)",65000,95000,54166.67,79166.67,66666.67
P2R2C7,45,KYD,Per Week,KYD$315 - KYD$360 Weekly,16380,18720,16380,18720,17550
P3T4C6,45,KYD,Per Month,"KYD$18,720 - KYD$23,400 Per Annum (paid Monthly)",18720,23400,18720,23400,21060
P4P4Q7,45,KYD,Per Week,"KYD$16,380 Per Annum (paid Weekly)",16380,16380,16380,16380,16380
P7K3C2,40,USD,Per Month,"USD$70,000 - USD$100,000 Per Annum (paid Monthly)",70000,100000,58333.33,83333.33,70833.33
P7T6M5,45,KYD,Per Hour,KYD$8 - KYD$10 Per Hour (paid Per Hour),18720,23400,18720,23400,21060
Q2B5N7,45,KYD,Per Month,KYD$15 - KYD$25 Per Hour (paid Monthly),35100,58500,35100,58500,46800
Q2R2D7,40,KYD,Per Week,KYD$12 - KYD$16 Per Hour (paid Weekly),24960,33280,24960,33280,29120
Q3W6J6,45,KYD,Bi-Weekly,KYD$13 Per Hour (paid Bi-Weekly),30420,30420,30420,30420,30420
Q5Q4D2,40,USD,Bi-Weekly,"USD$60,000 - USD$80,000 Per Annum (paid Bi-Weekly)",60000,80000,50000,66666.67,58333.33
Q5V5J6,45,KYD,Bi-Weekly,KYD$6 - KYD$7 Per Hour (paid Bi-Weekly),14040,16380,14040,16380,15210
Q6X3G2,45,USD,Bi-Weekly,USD$11 - USD$12 Per Hour (paid Bi-Weekly) + gratuities,25740,28080,21450,23400,22425
Q7A6P3,45,KYD,Bi-Monthly,"KYD$26,040 - KYD$33,000 Per Annum (paid Bi-Monthly)",26040,33000,26040,33000,29520
Q7G5C6,40,KYD,Per Week,KYD$8 Per Hour (paid Weekly),16640,16640,16640,16640,16640
Q8G3W6,45,KYD,Per Month,"KYD$1,365 Monthly",16380,16380,16380,16380,16380
R2U3W6,45,KYD,Bi-Monthly,"KYD$1,170 - KYD$1,950 Monthly (paid Bi-Monthly)",14040,23400,14040,23400,18720
R5W7U8,45,KYD,Bi-Weekly,KYD$12 - KYD$13 Per Hour (paid Bi-Weekly),28080,30420,28080,30420,29250
R6N2G3,25,KYD,Per Month,KYD$6 - KYD$7 Per Hour (paid Monthly),7800,9100,7800,9100,8450
R8S5B5,45,KYD,Bi-Monthly,KYD$8 - KYD$12 Per Hour (paid Bi-Monthly),18720,28080,18720,28080,23400
R8Y4K4,45,KYD,Per Week,KYD$9 - KYD$12 Per Hour (paid Weekly),21060,28080,21060,28080,24570
S2A2T5,20,KYD,Per Day,KYD$80 - KYD$150 Per Day (paid Per Day),20800,39000,20800,39000,29900
S2E3T8,45,KYD,Bi-Weekly,"KYD$1,462.5 - KYD$2,340 Monthly (paid Bi-Weekly)",17550,28080,17550,28080,22815
S3C3W8,36,KYD,Bi-Weekly,"KYD$1,152 Bi-Weekly (paid Bi-Weekly)",29952,29952,29952,29952,29952
S3Q5S8,45,KYD,Per Month,KYD$11 - KYD$13 Per Hour (paid Monthly),25740,30420,25740,30420,28080
S3R7V2,45,KYD,Per Month,KYD$6.5 - KYD$9.5 Per Hour (paid Monthly),15210,22230,15210,22230,18720
S4J7V4,40,KYD,Per Week,KYD$400 - KYD$480 Weekly,20800,24960,20800,24960,22880
S5M5T3,45,KYD,Bi-Monthly,"KYD$1,170 - KYD$1,950 Monthly (paid Bi-Monthly)",14040,23400,14040,23400,18720
S5R5N4,45,KYD,Per Year,"KYD$36,000 - KYD$42,000 Per Annum (paid Per Annum)",36000,42000,36000,42000,39000
S5W7A5,45,KYD,Bi-Weekly,"KYD$1,620 - KYD$1,980 Bi-Weekly (paid Bi-Weekly)",42120,51480,42120,51480,46800
S5W8Q7,45,KYD,Per Week,KYD$270 Weekly  + gratuities,14040,14040,14040,14040,14040
S8Q2T7,45,KYD,Per Week,"KYD$32,760 - KYD$52,650 Per Annum (paid Weekly)",32760,52650,32760,52650,42705
T2M4F2,45,KYD,Per Week,KYD$360 - KYD$495 Weekly,18720,25740,18720,25740,22230
T3U7B6,45,KYD,Per Month,"KYD$23,400 - KYD$26,000 Per Annum (paid Monthly)",23400,26000,23400,26000,24700
T3V5X7,40,KYD,Per Month,"KYD$46,000 - KYD$60,000 Per Annum (paid Monthly)",46000,60000,46000,60000,53000
T5E6H2,40,KYD,Per Day,KYD$6 - KYD$9 Per Hour (paid Per Day),12480,18720,12480,18720,15600
T6W6M6,45,KYD,Bi-Weekly,KYD$8 - KYD$9 Per Hour (paid Bi-Weekly),18720,21060,18720,21060,19890
T8Q3S7,45,KYD,Per Month,"KYD$3,800 - KYD$4,000 Monthly",45600,48000,45600,48000,46800
T8T4J8,45,KYD,Per Week,"KYD$14,040 - KYD$15,600 Per Annum (paid Weekly)",14040,15600,14040,15600,14820
U2Y5J2,45,KYD,Per Month,"KYD$36,000 - KYD$38,400 Per Annum (paid Monthly)",36000,38400,36000,38400,37200
U3N5D7,45,KYD,Per Week,KYD$14 - KYD$16 Per Hour (paid Weekly),32760,37440,32760,37440,35100
U3W6H6,45,KYD,Per Week,"KYD$15,678 - KYD$16,380 Per Annum (paid Weekly)",15678,16380,15678,16380,16029
U4N2U7,45,USD,Bi-Weekly,"USD$25,740 - USD$29,250 Per Annum (paid Bi-Weekly) + gratuities",25740,29250,21450,24375,22912.5
U5S5D7,45,KYD,Per Month,"KYD$28,009.8 - KYD$42,003 Per Annum (paid Monthly)",28009.8,42003,28009.8,42003,35006.4
U8K4R4,40,USD,Per Month,"USD$150,000 - USD$170,000 Per Annum (paid Monthly)",150000,170000,125000,141666.67,133333.33
U8N7H7,45,KYD,Per Month,"KYD$90,000 - KYD$120,000 Per Annum (paid Monthly)",90000,120000,90000,120000,105000
U8P5D7,45,KYD,Per Week,"KYD$19,515.6 - KYD$20,802.6 Per Annum (paid Weekly)",19515.6,20802.6,19515.6,20802.6,20159.1
V2N5K6,45,KYD,Per Week,KYD$7 - KYD$7.75 Per Hour (paid Weekly),16380,18135,16380,18135,17257.5
V2V3Y8,45,KYD,Per Week,"KYD$14,040 Per Annum (paid Weekly)",14040,14040,14040,14040,14040
V4P7T8,45,KYD,Per Month,"KYD$3,500 - KYD$4,000 Monthly",42000,48000,42000,48000,45000
V5N8P8,40,KYD,Per Hour,"KYD$16,640 - KYD$20,800 Per Annum (paid Per Hour) + gratuities",16640,20800,16640,20800,18720
V6E6S5,40,KYD,Per Week,KYD$112 - KYD$144 Per Day (paid Weekly),29120,37440,29120,37440,33280
V6K4T4,45,KYD,Bi-Weekly,"KYD$1,260 Bi-Weekly (paid Bi-Weekly)",32760,32760,32760,32760,32760
V6W8D4,40,USD,Bi-Weekly,"USD$90,000 - USD$130,000 Per Annum (paid Bi-Weekly)",90000,130000,75000,108333.33,91666.67
V7D4T5,45,KYD,Per Month,"KYD$40,000 - KYD$80,000 Per Annum (paid Monthly)",40000,80000,40000,80000,60000
V8D4R5,45,KYD,Bi-Weekly,KYD$13 Per Hour (paid Bi-Weekly),30420,30420,30420,30420,30420
V8X3B8,45,KYD,Per Hour,KYD$10 - KYD$12 Per Hour (paid Per Hour),23400,28080,23400,28080,25740
W2G2V6,45,KYD,Bi-Weekly,KYD$450 - KYD$540 Bi-Weekly (paid Bi-Weekly) + gratuities,11700,14040,11700,14040,12870
W3C3Y6,45,KYD,Per Hour,KYD$6 - KYD$8 Per Hour (paid Per Hour),14040,18720,14040,18720,16380
W3P6H7,45,USD,Per Month,USD$8 - USD$10 Per Hour (paid Monthly),18720,23400,15600,19500,17550
W4A8W4,10,KYD,Per Week,KYD$100 Weekly,5200,5200,5200,5200,5200
W6P6B7,40,KYD,Per Week,KYD$240 - KYD$350 Weekly,12480,18200,12480,18200,15340
W7F5V5,45,KYD,Bi-Weekly,KYD$10 - KYD$14 Per Hour (paid Bi-Weekly),23400,32760,23400,32760,28080
W7P7D5,45,KYD,Per Week,"KYD$15,210 - KYD$28,080 Per Annum (paid Weekly)",15210,28080,15210,28080,21645
W8C8E3,40,KYD,Per Month,"KYD$1,199.47 - KYD$1,599.87 Monthly",14393.6,19198.4,14393.6,19198.4,16796
W8M5P2,45,KYD,Bi-Weekly,KYD$10 - KYD$13 Per Hour (paid Bi-Weekly),23400,30420,23400,30420,26910
W8N4G8,45,KYD,Per Week,KYD$9 - KYD$10 Per Hour (paid Weekly),21060,23400,21060,23400,22230
W8V8T5,40,KYD,Per Week,KYD$557.6 - KYD$654 Weekly,28995.2,34008,28995.2,34008,31501.6
W8X8E4,35,USD,Per Month,"USD$130,000 - USD$140,000 Per Annum (paid Monthly)",130000,140000,108333.33,116666.67,112500
X2D8X6,45,KYD,Bi-Weekly,KYD$553.85 - KYD$600 Bi-Weekly (paid Bi-Weekly),14400,15600,14400,15600,15000
X2E5F7,45,KYD,Per Week,KYD$270 - KYD$337.5 Weekly,14040,17550,14040,17550,15795
X2T7H4,40,KYD,Per Week,KYD$480 - KYD$800 Weekly,24960,41600,24960,41600,33280
X3A4X4,40,KYD,Per Month,"KYD$3,000 - KYD$3,500 Monthly  + gratuities",36000,42000,36000,42000,39000
X3B8B5,45,KYD,Per Month,KYD$12 - KYD$16 Per Hour (paid Monthly),28080,37440,28080,37440,32760
X3C4A4,45,KYD,Per Week,KYD$300.15 - KYD$350.1 Weekly,15607.8,18205.2,15607.8,18205.2,16906.5
X3C6Q8,45,KYD,Per Month,"KYD$48,000 - KYD$71,000 Per Annum (paid Monthly)",48000,71000,48000,71000,59500
X3G5J5,40,USD,Bi-Monthly,"USD$83,491.2 - USD$103,500.8 Per Annum (paid Bi-Monthly)",83491.2,103500.8,69576,86250.67,77913.33
X3R6F8,45,KYD,Per Month,KYD$8 - KYD$14 Per Hour (paid Monthly),18720,32760,18720,32760,25740
X3W8J2,40,KYD,Bi-Weekly,KYD$8 - KYD$12 Per Hour (paid Bi-Weekly),16640,24960,16640,24960,20800
X5H3T5,45,KYD,Per Week,KYD$9 - KYD$10 Per Hour (paid Weekly),21060,23400,21060,23400,22230
X5K4Q5,45,KYD,Bi-Weekly,KYD$6 - KYD$7 Per Hour (paid Bi-Weekly),14040,16380,14040,16380,15210
X7J4W6,45,KYD,Per Month,"KYD$70,000 - KYD$95,000 Per Annum (paid Monthly)",70000,95000,70000,95000,82500
Y2U3F2,40,KYD,Bi-Weekly,KYD$14 - KYD$16 Per Hour (paid Bi-Weekly),29120,33280,29120,33280,31200
Y4J2B2,45,KYD,Per Hour,KYD$7 - KYD$9 Per Hour (paid Per Hour) + gratuities,16380,21060,16380,21060,18720
Y4K4K2,45,KYD,Bi-Weekly,KYD$6 - KYD$8 Per Hour (paid Bi-Weekly),14040,18720,14040,18720,16380
Y6A7J3,45,KYD,Per Week,KYD$13 - KYD$15 Per Hour (paid Weekly),30420,35100,30420,35100,32760
Y8Y3J6,45,KYD,Bi-Weekly,KYD$6 - KYD$10 Per Hour (paid Bi-Weekly),14040,23400,14040,23400,18720
C3X3U8,45,KYD,Bi-Monthly,"KYD$900 - KYD$1,462.5 Bi-Monthly (paid Bi-Monthly)",21600,35100,21600,35100,28350
C5J6C5,45,KYD,Bi-Monthly,"KYD$1,000 - KYD$2,242.5 Bi-Monthly (paid Bi-Monthly)",24000,53820,24000,53820,38910
C6N7K5,45,KYD,Per Hour,"KYD$16,380 - KYD$18,720 Per Annum (paid Per Hour)",16380,18720,16380,18720,17550
E3Q8A8,45,KYD,Per Month,"KYD$30,000 - KYD$42,000 Per Annum (paid Monthly)",30000,42000,30000,42000,36000
E5H7B2,45,KYD,Per Week,KYD$270 - KYD$720 Weekly,14040,37440,14040,37440,25740
G7C2E8,45,KYD,Per Month,"KYD$59,997.6 - KYD$66,011.4 Per Annum (paid Monthly)",59997.6,66011.4,59997.6,66011.4,63004.5
J3P7E6,45,KYD,Per Hour,"KYD$14,040 - KYD$17,550 Per Annum (paid Per Hour)",14040,17550,14040,17550,15795
K4R2C5,45,KYD,Per Month,"KYD$48,000 - KYD$72,000 Per Annum (paid Monthly)",48000,72000,48000,72000,60000
K4U5H2,45,KYD,Per Hour,"KYD$15,795 - KYD$21,645 Per Annum (paid Per Hour)",15795,21645,15795,21645,18720
K6V8P6,45,KYD,Bi-Weekly,KYD$8 - KYD$10 Per Hour (paid Bi-Weekly),18720,23400,18720,23400,21060
M2D7F5,45,KYD,Per Hour,"KYD$15,795 - KYD$21,645 Per Annum (paid Per Hour)",15795,21645,15795,21645,18720
P5F6V4,40,KYD,Per Week,KYD$400 Weekly,20800,20800,20800,20800,20800
Q4Y6T7,45,KYD,Per Hour,"KYD$16,380 - KYD$18,720 Per Annum (paid Per Hour)",16380,18720,16380,18720,17550
R3Q6A5,45,KYD,Per Hour,"KYD$18,720 - KYD$23,400 Per Annum (paid Per Hour)",18720,23400,18720,23400,21060
R5D2R5,45,KYD,Bi-Monthly,"KYD$1,000 - KYD$2,242.5 Bi-Monthly (paid Bi-Monthly)",24000,53820,24000,53820,38910
T3K8S7,45,KYD,Per Month,"KYD$24,000 - KYD$36,000 Per Annum (paid Monthly)",24000,36000,24000,36000,30000
U2T7D8,45,KYD,Bi-Weekly,"KYD$14,040 - KYD$16,380 Per Annum (paid Bi-Weekly)",14040,16380,14040,16380,15210
U4U6H3,40,KYD,Per Month,"KYD$3,499.6 - KYD$3,799.47 Monthly",41995.2,45593.6,41995.2,45593.6,43794.4
V2K4V3,45,KYD,Per Month,"KYD$30,000 - KYD$36,000 Per Annum (paid Monthly)",30000,36000,30000,36000,33000
V7X3Q6,45,KYD,Per Hour,"KYD$15,795 - KYD$19,305 Per Annum (paid Per Hour)",15795,19305,15795,19305,17550
W4A4U4,45,KYD,Per Month,"KYD$42,000 - KYD$48,000 Per Annum (paid Monthly)",42000,48000,42000,48000,45000
X6B8K7,45,KYD,Per Hour,"KYD$16,380 - KYD$21,060 Per Annum (paid Per Hour)",16380,21060,16380,21060,18720
X8F8K6,45,KYD,Per Month,"KYD$21,598.2 - KYD$24,008.4 Per Annum (paid Monthly)",21598.2,24008.4,21598.2,24008.4,22803.3
Y2D3P4,45,KYD,Per Week,"KYD$14,040 - KYD$18,720 Per Annum (paid Weekly)",14040,18720,14040,18720,16380
Y2J7Q2,45,KYD,Per Month,"KYD$45,600 - KYD$54,000 Per Annum (paid Monthly)",45600,54000,45600,54000,49800
Y2W3S5,45,KYD,Per Hour,"KYD$15,795 - KYD$21,645 Per Annum (paid Per Hour)",15795,21645,15795,21645,18720
Y6E2Q3,45,KYD,Per Hour,"KYD$14,040 - KYD$16,380 Per Annum (paid Per Hour)",14040,16380,14040,16380,15210
A3M5R2,37.5,USD,Per Month,"USD$120,003 - USD$155,005.5 Per Annum (paid Monthly)",120003,155005.5,100002.5,129171.25,114586.88
A5D4T8,45,USD,Per Hour,USD$12.82 - USD$15.38 Per Hour (paid Per Hour),29998.8,35989.2,24999,29991,27495
A6Y4F6,45,KYD,Per Hour,"KYD$18,720 - KYD$21,060 Per Annum (paid Per Hour)",18720,21060,18720,21060,19890
A7B5E5,45,KYD,Per Week,KYD$360 - KYD$450 Weekly,18720,23400,18720,23400,21060
A7N2Q8,45,KYD,Bi-Weekly,KYD$7.75 - KYD$8.75 Per Hour (paid Bi-Weekly),18135,20475,18135,20475,19305
B2C4J8,45,KYD,Per Month,"KYD$4,200 - KYD$5,800 Monthly",50400,69600,50400,69600,60000
B2S6N6,45,KYD,Per Month,"KYD$3,300 - KYD$3,800 Monthly",39600,45600,39600,45600,42600
B5R3G2,45,KYD,Per Month,"KYD$14,040 - KYD$23,400 Per Annum (paid Monthly) + gratuities",14040,23400,14040,23400,18720
B6N4F7,45,KYD,Bi-Weekly,"KYD$1,260 - KYD$1,980 Bi-Weekly (paid Bi-Weekly)",32760,51480,32760,51480,42120
B6X4G2,45,USD,Bi-Weekly,"USD$25,272 - USD$30,888 Per Annum (paid Bi-Weekly) + gratuities",25272,30888,21060,25740,23400
B8G3M2,37.5,USD,Per Month,"USD$160,000 - USD$175,000 Per Annum (paid Monthly)",160000,175000,133333.33,145833.33,139583.33
C3J3B7,45,KYD,Per Month,"KYD$76,500 - KYD$90,500 Per Annum (paid Monthly)",76500,90500,76500,90500,83500
C3N4H4,45,KYD,Bi-Weekly,KYD$16 - KYD$18 Per Hour (paid Bi-Weekly),37440,42120,37440,42120,39780
C4F8H2,45,KYD,Per Month,"KYD$15,210 - KYD$23,400 Per Annum (paid Monthly)",15210,23400,15210,23400,19305
C5R8V2,45,KYD,Per Hour,"KYD$18,720 - KYD$21,060 Per Annum (paid Per Hour)",18720,21060,18720,21060,19890
C5X7U3,37.5,USD,Per Month,"USD$120,000 - USD$135,000 Per Annum (paid Monthly)",120000,135000,100000,112500,106250
C7A7J6,37.5,USD,Per Month,"USD$140,000 - USD$160,000 Per Annum (paid Monthly)",140000,160000,116666.67,133333.33,125000
C7B7K8,40,KYD,Per Month,"KYD$31,200 - KYD$43,680 Per Annum (paid Monthly)",31200,43680,31200,43680,37440
C8E6D2,45,KYD,Per Week,KYD$300.15 - KYD$350.1 Weekly,15607.8,18205.2,15607.8,18205.2,16906.5
C8N3N6,10,KYD,Per Month,"KYD$120,000 - KYD$140,000 Per Annum (paid Monthly)",120000,140000,120000,140000,130000
D2V5N4,45,KYD,Per Month,"KYD$28,080 - KYD$35,100 Per Annum (paid Monthly)",28080,35100,28080,35100,31590
D3P3Y8,45,USD,Per Month,"USD$80,000 - USD$82,500 Per Annum (paid Monthly)",80000,82500,66666.67,68750,67708.33
D3V8M7,45,KYD,Bi-Weekly,"KYD$1,170 - KYD$1,620 Bi-Weekly (paid Bi-Weekly)",30420,42120,30420,42120,36270
D3W6F7,45,KYD,Per Month,"KYD$4,600 - KYD$5,300 Monthly",55200,63600,55200,63600,59400
D4E4K5,37.5,USD,Per Month,"USD$180,000 - USD$220,000 Per Annum (paid Monthly)",180000,220000,150000,183333.33,166666.67
D5C2C3,35,KYD,Per Month,"KYD$73,000 - KYD$94,500 Per Annum (paid Monthly)",73000,94500,73000,94500,83750
D6S7P3,45,KYD,Per Week,KYD$300 - KYD$450 Weekly,15600,23400,15600,23400,19500
D7N5C2,37.5,USD,Per Month,"USD$170,000 - USD$220,000 Per Annum (paid Monthly)",170000,220000,141666.67,183333.33,162500
D8C7V5,40,KYD,Per Month,"KYD$39,353.6 - KYD$40,560 Per Annum (paid Monthly)",39353.6,40560,39353.6,40560,39956.8
E2E3H2,45,KYD,Per Month,KYD$16 - KYD$18 Per Hour (paid Monthly),37440,42120,37440,42120,39780
E3G7S6,45,KYD,Bi-Weekly,KYD$10 - KYD$14 Per Hour (paid Bi-Weekly),23400,32760,23400,32760,28080
E5G4M6,45,KYD,Per Week,KYD$12 - KYD$13 Per Hour (paid Weekly),28080,30420,28080,30420,29250
E7D5E5,45,KYD,Bi-Weekly,KYD$6 - KYD$8 Per Hour (paid Bi-Weekly),14040,18720,14040,18720,16380
E7Q2F3,40,KYD,Per Month,"KYD$2,499.47 - KYD$3,000.4 Monthly",29993.6,36004.8,29993.6,36004.8,32999.2
E8B8N6,45,KYD,Per Week,KYD$10 - KYD$12 Per Hour (paid Weekly),23400,28080,23400,28080,25740
F3E4S4,45,KYD,Bi-Weekly,KYD$6 - KYD$7 Per Hour (paid Bi-Weekly),14040,16380,14040,16380,15210
F3Y5M6,35,USD,Per Year,"USD$185,000 - USD$250,000 Per Annum (paid Per Annum)",185000,250000,154166.67,208333.33,181250
F4K4H2,45,KYD,Per Week,KYD$500 - KYD$765 Weekly,26000,39780,26000,39780,32890
F5A4G6,37.5,KYD,Per Month,"KYD$1,249.63 - KYD$2,000.38 Monthly",14995.5,24004.5,14995.5,24004.5,19500
F6C2J5,45,KYD,Per Month,"KYD$1,200 Monthly",14400,14400,14400,14400,14400
F6H6B7,37.5,USD,Per Month,"USD$50,000 - USD$80,000 Per Annum (paid Monthly)",50000,80000,41666.67,66666.67,54166.67
F6M4C3,45,KYD,Per Month,"KYD$5,000 - KYD$6,500 Monthly",60000,78000,60000,78000,69000
F8M2P2,45,KYD,Per Month,"KYD$70,000 - KYD$90,000 Per Annum (paid Monthly)",70000,90000,70000,90000,80000
G3Q2F4,30,KYD,Per Week,KYD$450 Weekly,23400,23400,23400,23400,23400
G5N4X3,45,USD,Bi-Weekly,"USD$100,000 - USD$135,000 Per Annum (paid Bi-Weekly)",100000,135000,83333.33,112500,97916.67
G5S6V3,37.5,USD,Per Month,"USD$95,000 - USD$125,000 Per Annum (paid Monthly)",95000,125000,79166.67,104166.67,91666.67
G6Q3V4,45,USD,Bi-Weekly,"USD$73,008 - USD$82,017 Per Annum (paid Bi-Weekly)",73008,82017,60840,68347.5,64593.75
G7J7Y4,45,KYD,Bi-Weekly,KYD$10 Per Hour (paid Bi-Weekly),23400,23400,23400,23400,23400
H4A8J3,45,KYD,Bi-Weekly,KYD$540 - KYD$810 Bi-Weekly (paid Bi-Weekly) + gratuities,14040,21060,14040,21060,17550
H4D6Q8,37.5,USD,Per Month,"USD$180,000 - USD$240,000 Per Annum (paid Monthly)",180000,240000,150000,200000,175000
H4W2G2,25,KYD,Per Month,"KYD$1,000 - KYD$1,500 Monthly",12000,18000,12000,18000,15000
H7C6A7,45,KYD,Bi-Weekly,"KYD$1,260 - KYD$1,710 Bi-Weekly (paid Bi-Weekly)",32760,44460,32760,44460,38610
H7D8X3,45,USD,Bi-Weekly,"USD$65,000 - USD$79,000 Per Annum (paid Bi-Weekly)",65000,79000,54166.67,65833.33,60000
J2E8F8,45,KYD,Bi-Weekly,KYD$15 - KYD$23 Per Hour (paid Bi-Weekly),35100,53820,35100,53820,44460
J3X4H3,40,KYD,Per Week,KYD$240 - KYD$270 Weekly,12480,14040,12480,14040,13260
J5E2C4,45,KYD,Bi-Weekly,KYD$600 - KYD$900 Bi-Weekly (paid Bi-Weekly),15600,23400,15600,23400,19500
J6K3R5,40,KYD,Per Month,"KYD$3,499.6 - KYD$3,799.47 Monthly",41995.2,45593.6,41995.2,45593.6,43794.4
J6N6B4,45,KYD,Bi-Weekly,KYD$6 - KYD$7 Per Hour (paid Bi-Weekly),14040,16380,14040,16380,15210
J8V4G3,40,KYD,Per Month,"KYD$3,499.6 - KYD$3,799.47 Monthly",41995.2,45593.6,41995.2,45593.6,43794.4
K4D7M4,45,KYD,Per Month,"KYD$3,500 - KYD$4,500 Monthly",42000,54000,42000,54000,48000
K4J5R4,45,KYD,Per Week,KYD$270 Weekly,14040,14040,14040,14040,14040
K4R6H3,45,KYD,Per Month,"KYD$15,210 - KYD$16,380 Per Annum (paid Monthly)",15210,16380,15210,16380,15795
K6C2R5,45,KYD,Per Week,KYD$382.5 Weekly,19890,19890,19890,19890,19890
M2P2K3,45,KYD,Per Month,"KYD$14,040 - KYD$15,210 Per Annum (paid Monthly)",14040,15210,14040,15210,14625
M4K2H2,45,KYD,Bi-Weekly,KYD$540 Bi-Weekly (paid Bi-Weekly),14040,14040,14040,14040,14040
M5G6R2,45,KYD,Bi-Weekly,KYD$10 - KYD$12 Per Hour (paid Bi-Weekly),23400,28080,23400,28080,25740
M6B7P4,45,KYD,Per Week,KYD$450 - KYD$549.9 Weekly,23400,28594.8,23400,28594.8,25997.4
M6V3F4,45,KYD,Bi-Weekly,KYD$10 - KYD$13 Per Hour (paid Bi-Weekly),23400,30420,23400,30420,26910
M7R8B6,45,KYD,Bi-Weekly,KYD$540 - KYD$550 Bi-Weekly (paid Bi-Weekly),14040,14300,14040,14300,14170
M8B7A7,45,USD,Bi-Weekly,"USD$110,000 - USD$135,000 Per Annum (paid Bi-Weekly)",110000,135000,91666.67,112500,102083.33
N2A6K4,37.5,KYD,Per Month,"KYD$53,735 - KYD$64,795 Per Annum (paid Monthly)",53735,64795,53735,64795,59265
N3D7T2,37.5,KYD,Per Month,"KYD$104,424 - KYD$156,576 Per Annum (paid Monthly)",104424,156576,104424,156576,130500
N5U6G7,40,KYD,Per Month,"KYD$1,199.47 - KYD$1,599.87 Monthly",14393.6,19198.4,14393.6,19198.4,16796
N6N4U3,40,KYD,Per Week,KYD$560 - KYD$640 Bi-Weekly (paid Weekly),14560,16640,14560,16640,15600
N7D7B7,40,KYD,Per Month,"KYD$30,000 - KYD$36,000 Per Annum (paid Monthly)",30000,36000,30000,36000,33000
N7H7S2,35,KYD,Per Month,"KYD$70,000 - KYD$95,000 Per Annum (paid Monthly)",70000,95000,70000,95000,82500
P4D4B5,45,KYD,Bi-Weekly,KYD$540 - KYD$550 Bi-Weekly (paid Bi-Weekly),14040,14300,14040,14300,14170
P4R8H8,10,KYD,Per Week,KYD$6 Per Hour (paid Weekly),3120,3120,3120,3120,3120
P5T4C8,45,USD,Per Month,"USD$36,000 - USD$48,000 Per Annum (paid Monthly)",36000,48000,30000,40000,35000
P8R7Y5,45,KYD,Per Month,"KYD$2,234.7 - KYD$2,414.1 Monthly",26816.4,28969.2,26816.4,28969.2,27892.8
Q2E8X4,45,KYD,Bi-Monthly,KYD$6 - KYD$8 Per Hour (paid Bi-Monthly),14040,18720,14040,18720,16380
Q2J8S4,45,KYD,Bi-Weekly,"KYD$1,260 - KYD$1,620 Bi-Weekly (paid Bi-Weekly)",32760,42120,32760,42120,37440
Q2W7T7,37.5,USD,Per Month,"USD$14,583.33 - USD$16,666.67 Monthly",175000,200000,145833.33,166666.67,156250
Q3F2T3,45,KYD,Per Month,"KYD$10,530 Per Annum (paid Monthly) + gratuities",10530,10530,10530,10530,10530
Q6Y8X8,37.5,USD,Per Month,"USD$100,015.5 - USD$120,003 Per Annum (paid Monthly)",100015.5,120003,83346.25,100002.5,91674.38
R2J8K2,37.5,KYD,Per Month,"KYD$111,939 - KYD$139,590 Per Annum (paid Monthly)",111939,139590,111939,139590,125764.5
